 ERROR root [2025-09-02 12:49:53,656] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:51:21,777] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:52:49,935] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:54:18,059] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:55:46,164] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:57:14,269] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:58:42,401] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:00:10,629] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:01:38,736] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:03:06,878] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:04:35,008] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:06:03,118] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:07:31,230] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:08:59,344] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:10:27,453] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:11:55,648] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:13:23,754] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:14:51,857] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:16:19,975] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:17:48,191] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:19:16,306] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:20:44,428] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:22:12,533] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:23:40,653] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:25:08,781] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:26:36,897] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:28:05,116] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:29:33,231] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:31:01,390] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:32:29,519] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:33:57,644] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:35:25,746] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:36:53,841] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:38:21,965] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:39:50,170] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:41:18,279] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:42:46,383] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:44:14,492] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:45:42,705] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:47:10,804] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:48:38,934] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:50:07,042] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:51:35,253] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:53:03,360] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:54:31,482] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:55:59,578] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:57:27,777] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 13:58:55,821] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:00:24,034] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:01:52,075] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:03:20,288] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:04:48,398] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:06:16,498] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:07:44,636] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:09:12,761] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:10:40,884] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:12:09,091] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:13:37,126] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:15:05,344] - EndPoint::close: 4:0 0.0.0.0:0.
